match_id,context_type,context_label,start_minute,end_minute,pass_count,density,clustering_coefficient,avg_betweenness_centrality,avg_eigenvector_centrality,avg_path_length,centralization
3773386,score_contexts,tied,0,90,1064,0.26360544217687076,0.07213547801642854,0.0272009284134024,0.10603060549556169,2.4812925170068025,0.2363945578231293
3773386,phase_contexts,early,0,30,366,0.1556122448979592,0.06746218559079266,0.034553405850485254,0.09625405202816058,2.756802721088435,0.17772108843537415
3773386,phase_contexts,middle,30,60,355,0.1445578231292517,0.0506619984435962,0.037020668502024345,0.102596966829467,2.9906462585034013,0.14710884353741494
3773386,phase_contexts,late,60,90,343,0.12670068027210885,0.07142335474788604,0.035557387673483876,0.10077212972185853,3.207729468599034,0.22746598639455778
3773386,intensity_contexts,medium,80,90,127,0.0663265306122449,0.04857460218858179,0.053870806596870414,0.08854205590996385,4.637630662020906,0.16284013605442177
3773386,intensity_contexts,low,60,70,96,0.05102040816326531,0.03186634752409349,0.04376438658703496,0.12060440019179146,3.92176386913229,0.11564625850340135
3773565,score_contexts,tied,0,90,1138,0.304421768707483,0.07068035991345722,0.024369311686606082,0.10432745388366607,2.24234693877551,0.15391156462585032
3773565,phase_contexts,early,0,30,354,0.14965986394557823,0.09570890814417392,0.03519522632879922,0.10378212925981652,2.8482886216466237,0.14200680272108843
3773565,phase_contexts,middle,30,60,411,0.17346938775510204,0.07068689797792457,0.03221416085564965,0.113346834030157,2.663265306122449,0.18069727891156462
3773565,phase_contexts,late,60,90,373,0.16156462585034015,0.05513647179596438,0.03307879883389822,0.08372560804394369,2.6700680272108843,0.2134353741496599
3773565,intensity_contexts,medium,80,90,132,0.07312925170068027,0.04850083286624537,0.037122162983281304,0.09147407586343698,3.2182926829268292,0.1560374149659864
3773565,intensity_contexts,high,50,60,172,0.09268707482993198,0.051912472680840996,0.04094517469137055,0.0936360554881356,3.282828282828283,0.1364795918367347
3773457,score_contexts,tied,0,90,1173,0.3129251700680272,0.07460819227867099,0.024907604947619195,0.11344639482381813,2.25765306122449,0.16624149659863946
3773457,phase_contexts,early,0,30,412,0.1870748299319728,0.08528843775544022,0.031148268072931556,0.09533919165291216,2.550170068027211,0.16709183673469385
3773457,phase_contexts,middle,30,60,417,0.17346938775510204,0.09445109397117342,0.03201208513047905,0.1184270161739421,2.5841836734693877,0.1806972789115646
3773457,phase_contexts,late,60,90,344,0.14795918367346939,0.10565970357425951,0.03766133391287064,0.10746384855923688,2.889455782312925,0.16454081632653064
3773457,intensity_contexts,high,0,10,152,0.09268707482993198,0.04286661533986048,0.037518184905891754,0.11439727101477375,3.0757575757575757,0.1364795918367347
3773457,intensity_contexts,medium,80,90,111,0.06717687074829932,0.049365074890212884,0.03807939465101761,0.10987867368313377,3.457317073170732,0.12032312925170069
3773631,score_contexts,tied,0,90,1147,0.2916666666666667,0.052442193680554,0.02568043529980692,0.10517740374452586,2.3095238095238093,0.27083333333333337
3773631,phase_contexts,early,0,30,397,0.16581632653061223,0.0614152049970604,0.03062429462046822,0.10348439150741591,2.5913120567375887,0.2091836734693878
3773631,phase_contexts,middle,30,60,416,0.16241496598639457,0.057514235452299715,0.031970727973528984,0.09327312406429618,2.6879432624113475,0.23341836734693877
3773631,phase_contexts,late,60,90,334,0.14710884353741496,0.05279337916737364,0.035836582845918494,0.08218925185283671,2.806972789115646,0.16539115646258504
3773631,intensity_contexts,medium,80,90,122,0.070578231292517,0.04392701957114744,0.045045565759123926,0.07803148705162606,3.690909090909091,0.07525510204081631
3773631,intensity_contexts,high,40,50,183,0.09183673469387756,0.04605520198012984,0.043824770962499635,0.07798407249124509,3.3080481036077707,0.1998299319727891
3773631,intensity_contexts,low,70,80,91,0.05357142857142857,0.058603736450793475,0.06722827965096644,0.08519225821694762,5.142857142857143,0.11309523809523808
3773665,score_contexts,tied,0,90,1157,0.3052721088435374,0.09288698827311637,0.026294901680437653,0.11737740752401234,2.3494897959183674,0.1947278911564626
3773665,phase_contexts,early,0,30,376,0.17431972789115646,0.06807224416680586,0.028725947359088396,0.10490085916205918,2.481036077705828,0.15901360544217685
3773665,phase_contexts,middle,30,60,462,0.19047619047619047,0.08144587360071483,0.03294501441009248,0.10971012603053111,2.636904761904762,0.16369047619047614
3773665,phase_contexts,late,60,90,319,0.1445578231292517,0.07744929285611458,0.0326430323151485,0.10916734848066245,2.74822695035461,0.14710884353741496
3773665,intensity_contexts,medium,80,90,102,0.06377551020408163,0.04410611361992442,0.038041804257820805,0.09677455708924507,3.354239256678281,0.12372448979591837
3773665,intensity_contexts,high,40,50,184,0.10119047619047619,0.08136862051706527,0.040019560390714054,0.10761544671682306,3.0956521739130434,0.16964285714285715
3773665,intensity_contexts,low,60,70,86,0.05442176870748299,0.034493870253060076,0.05037667710540051,0.10334386542435543,4.227642276422764,0.09141156462585032
